Dougherty,AntwanAntwanDougherty443-13-3556Phi-FR
Knox,PatrickPatrickKnox280-73-5539Art-SR
Parrish,ShaneShaneParrish836-52-7474Ger-SO
Kerr,JeromeJeromeKerr184-68-9130Jou-SR
Foley,AdrielAdrielFoley137-20-7752Avi-JR
Wagner,SeamusSeamusWagner963-58-9837Ele-SR
Hobbs,AshtonAshtonHobbs885-19-6844Urb-FR
Petty,EvieEviePetty583-17-8205Pub-SO
Myers,LeandroLeandroMyers846-86-1183Cou-SR
Roberts,JuliaJuliaRoberts731-36-7830Lib-FR
Brandt,LukasLukasBrandt358-56-8112Med-FR
Livingston,AlaniAlaniLivingston886-40-7006Urb-SO
Peterson,JamiyaJamiyaPeterson247-81-9639Med-JR
Roy,KirstenKirstenRoy131-73-3825Man-FR
Copeland,JohnnyJohnnyCopeland101-88-8583Int-FR
Wong,AmirahAmirahWong984-49-7533Cre-SO
Kline,LucianoLucianoKline274-66-3201Cyb-SO
Joseph,LanceLanceJoseph377-94-7641Bio-SR
Rangel,PaulaPaulaRangel391-56-3431Neu-SR
Massey,JamieJamieMassey644-98-5853Mus-SR
Rubio,KarliKarliRubio959-52-4755Exe-SR
Mcguire,EllisEllisMcguire861-10-8534Con-JR
Oliver,MadysonMadysonOliver275-59-1668Sec-FR
Fry,SerenitySerenityFry717-98-7411Ele-JR
Leon,JaliyahJaliyahLeon894-99-6981Geo-SO
Guerrero,ParkerParkerGuerrero180-52-1247Pol-FR
Kemp,MilagrosMilagrosKemp203-98-9897Avi-SR
Garza,AniyaAniyaGarza100-58-8601Edu-FR
Roberts,ZoeZoeRoberts718-45-3528The-SO
Chan,RyderRyderChan731-22-3239Com-SR
Norton,AntonioAntonioNorton209-59-9172Mus-SR
Kim,JazleneJazleneKim652-73-9224Com-JR
Cox,AmericaAmericaCox451-98-3781Avi-SR
Rogers,ColbyColbyRogers800-18-1208Soc-SR
Conrad,StellaStellaConrad607-52-3746Bio-SO
Mccullough,MichealMichealMccullough110-16-2223Hea-SR
Hardy,KolbyKolbyHardy335-91-7119Mus-JR
Tapia,SophiaSophiaTapia912-46-2838Che-FR
Jacobson,AddisonAddisonJacobson231-30-5891Con-JR
Terrell,AimeeAimeeTerrell579-64-2390Eme-FR
Cannon,AbagailAbagailCannon592-47-6376Avi-FR
Conrad,DonaldDonaldConrad417-15-1782Man-JR
Medina,TianaTianaMedina620-86-1667Edu-JR
Vasquez,EdwinEdwinVasquez713-12-7466Sec-SO
Mcclain,SofiaSofiaMcclain848-92-4732Pub-SR
Nash,BraylonBraylonNash982-15-6498Inf-FR
Buchanan,ChayaChayaBuchanan821-18-8425For-SR
Juarez,CharlizeCharlizeJuarez868-53-6304Rel-SR
Yu,XzavierXzavierYu981-82-3036Ger-SO
Kent,TimothyTimothyKent113-77-6916Jou-FR
Jones,BaileeBaileeJones731-46-4121Bio-SR
Hoover,ElizabethElizabethHoover707-68-2898Eng-FR
Ramos,JaidaJaidaRamos258-60-6123Avi-SR
Livingston,PerlaPerlaLivingston826-59-5240Con-SR
Simpson,ShaynaShaynaSimpson657-27-7529Eme-SO
Dawson,JanJanDawson511-32-9556Wri-JR
Huffman,AryanaAryanaHuffman988-19-4629Mul-SO
Fernandez,HillaryHillaryFernandez249-65-2684Wom-JR
Barnes,HillaryHillaryBarnes233-70-7360Com-FR
Parks,KaylaKaylaParks686-72-5990Eco-SR
Murphy,ToddToddMurphy312-59-5455Sch-FR
Kelley,MelissaMelissaKelley646-33-9398Arc-SR
Gross,AbbigailAbbigailGross902-63-8563Ath-SO
Benton,AlinaAlinaBenton317-80-6825Spe-SO
